soilType,plotCluster ,wine,flavorType,sensoryFlavor,judgeNumber,ratioFlavorJudge
sandySiltyClay,72,2017_BOUQ_CABES,olfactory,milky,1,1.00
sandySiltyClay,72,2017_BOUQ_MARS,olfactory,milky,1,NaN
sandySiltyClay,72,2017_BOUQ_CABES,olfactory,strong,1,1.00
sandySiltyClay,72,2017_BOUQ_MARS,olfactory,strong,1,NaN
sandySiltyClay,72,2017_BOUQ_CABES,olfactory,ascent,1,NaN
sandySiltyClay,72,2017_BOUQ_MARS,olfactory,ascent,1,1.00
sandySiltyClay,72,2017_BOUQ_CABES,olfactory,plastic,1,NaN
sandySiltyClay,72,2017_BOUQ_MARS,olfactory,plastic,1,1.00
sandySiltyClay,72,2017_BOUQ_CABES,taste,balanced,5,0.80
sandySiltyClay,72,2017_BOUQ_MARS,taste,balanced,5,0.20
sandySiltyClay,72,2017_BOUQ_CABES,taste,acid,1,NaN
sandySiltyClay,72,2017_BOUQ_MARS,taste,acid,1,1.00
sandySiltyClay,72,2017_BOUQ_CABES,taste,astringent,1,1.00
sandySiltyClay,72,2017_BOUQ_MARS,taste,astringent,1,NaN
sandySiltyClay,72,2017_BOUQ_CABES,taste,sweetness,1,NaN
sandySiltyClay,72,2017_BOUQ_MARS,taste,sweetness,1,1.00
sandySiltyClay,72,2017_BOUQ_CABES,taste,fat,1,NaN
sandySiltyClay,72,2017_BOUQ_MARS,taste,fat,1,1.00
sandySiltyClay,72,2017_BOUQ_CABES,taste,aromatic,1,1.00
sandySiltyClay,72,2017_BOUQ_MARS,taste,aromatic,1,NaN
sandySiltyClay,72,2017_BOUQ_CABES,taste,liquorice,1,1.00
sandySiltyClay,72,2017_BOUQ_MARS,taste,liquorice,1,NaN
,,2017_ECOVITI_MOUR_IPM50,visual,purplish,5,0.60
,,2017_ECOVITI_MOUR_INOBIO,visual,purplish,5,0.40
,,2017_ECOVITI_MOUR_IPM50,visual,dark,5,1.00
,,2017_ECOVITI_MOUR_INOBIO,visual,dark,5,NaN
,,2017_ECOVITI_MOUR_IPM50,visual,pureRed (cherry),2,NaN
,,2017_ECOVITI_MOUR_INOBIO,visual,pureRed (cherry),2,1.00
,,2017_ECOVITI_MOUR_IPM50,olfactory,fruity,4,1.00
,,2017_ECOVITI_MOUR_INOBIO,olfactory,fruity,4,NaN
,,2017_ECOVITI_MOUR_IPM50,olfactory,flowery,1,1.00
,,2017_ECOVITI_MOUR_INOBIO,olfactory,flowery,1,NaN
,,2017_ECOVITI_MOUR_IPM50,olfactory,vegetal,1,NaN
,,2017_ECOVITI_MOUR_INOBIO,olfactory,vegetal,1,1.00
,,2017_ECOVITI_MOUR_IPM50,olfactory,empyreumatic,1,1.00
,,2017_ECOVITI_MOUR_INOBIO,olfactory,empyreumatic,1,NaN
,,2017_ECOVITI_MOUR_IPM50,olfactory,spicy,1,NaN
,,2017_ECOVITI_MOUR_INOBIO,olfactory,spicy,1,1.00
,,2017_ECOVITI_MOUR_IPM50,olfactory,cookedFruits,1,NaN
,,2017_ECOVITI_MOUR_INOBIO,olfactory,cookedFruits,1,1.00
,,2017_ECOVITI_MOUR_IPM50,olfactory,reduced,2,0.50
,,2017_ECOVITI_MOUR_INOBIO,olfactory,reduced,2,0.50
,,2017_ECOVITI_MOUR_IPM50,olfactory,animal,1,1.00
,,2017_ECOVITI_MOUR_INOBIO,olfactory,animal,1,NaN
,,2017_ECOVITI_MOUR_IPM50,olfactory,paper,1,NaN
,,2017_ECOVITI_MOUR_INOBIO,olfactory,paper,1,1.00
,,2017_ECOVITI_MOUR_IPM50,taste,astringent,5,0.80
,,2017_ECOVITI_MOUR_INOBIO,taste,astringent,5,0.20
,,2017_ECOVITI_MOUR_IPM50,taste,fat,3,0.67
,,2017_ECOVITI_MOUR_INOBIO,taste,fat,3,0.33
,,2017_ECOVITI_MOUR_IPM50,taste,acid,2,0.50
,,2017_ECOVITI_MOUR_INOBIO,taste,acid,2,0.50
,,2017_ECOVITI_MOUR_IPM50,taste,sweetness,2,1.00
,,2017_ECOVITI_MOUR_INOBIO,taste,sweetness,2,NaN
,,2017_ECOVITI_MOUR_IPM50,taste,balanced,1,1.00
,,2017_ECOVITI_MOUR_INOBIO,taste,balanced,1,NaN
,,2017_ECOVITI_MOUR_IPM50,taste,aromatic,1,NaN
,,2017_ECOVITI_MOUR_INOBIO,taste,aromatic,1,1.00
,,2017_ECOVITI_MOUR_IPM50,taste,dilute,2,0.50
,,2017_ECOVITI_MOUR_INOBIO,taste,dilute,2,0.50
,,2017_ECOVITI_MOUR_IPM50,taste,acid,1,NaN
,,2017_ECOVITI_MOUR_INOBIO,taste,acid,1,1.00
,,2017_ECOVITI_MOUR_IPM50,taste,ink,1,NaN
,,2017_ECOVITI_MOUR_INOBIO,taste,ink,1,1.00
sandySilty,57,2017_VDQA_G5_57_B,visual,veryLightYellowWithGreenSparkles,7,0.57
sandySilty,57,2017_VDQA_G9_57_B,visual,veryLightYellowWithGreenSparkles,7,0.43
sandySilty,57,2017_VDQA_G5_57_B,visual,alsmostColourless,2,NaN
sandySilty,57,2017_VDQA_G9_57_B,visual,alsmostColourless,2,1.00
sandySilty,57,2017_VDQA_G5_57_B,visual,strawYellowGoldYellow,1,1.00
sandySilty,57,2017_VDQA_G9_57_B,visual,strawYellowGoldYellow,1,NaN
sandySilty,57,2017_VDQA_G5_57_B,visual,turbid,8,NaN
sandySilty,57,2017_VDQA_G9_57_B,visual,turbid,8,1.00
sandySilty,57,2017_VDQA_G5_57_B,olfactory,fruity,5,NaN
sandySilty,57,2017_VDQA_G9_57_B,olfactory,fruity,5,1.00
sandySilty,57,2017_VDQA_G5_57_B,olfactory,flowery,2,NaN
sandySilty,57,2017_VDQA_G9_57_B,olfactory,flowery,2,1.00
sandySilty,57,2017_VDQA_G5_57_B,olfactory,citrusFruit,2,NaN
sandySilty,57,2017_VDQA_G9_57_B,olfactory,citrusFruit,2,1.00
sandySilty,57,2017_VDQA_G5_57_B,olfactory,mineral,1,NaN
sandySilty,57,2017_VDQA_G9_57_B,olfactory,mineral,1,1.00
sandySilty,57,2017_VDQA_G5_57_B,olfactory,fermentationAroma,1,NaN
sandySilty,57,2017_VDQA_G9_57_B,olfactory,fermentationAroma,1,1.00
sandySilty,57,2017_VDQA_G5_57_B,olfactory,candy,1,NaN
sandySilty,57,2017_VDQA_G9_57_B,olfactory,candy,1,1.00
sandySilty,57,2017_VDQA_G5_57_B,olfactory,badSmell,1,1.00
sandySilty,57,2017_VDQA_G9_57_B,olfactory,badSmell,1,NaN
sandySilty,57,2017_VDQA_G5_57_B,olfactory,lemon,1,NaN
sandySilty,57,2017_VDQA_G9_57_B,olfactory,lemon,1,1.00
sandySilty,57,2017_VDQA_G5_57_B,olfactory,muscat,1,1.00
sandySilty,57,2017_VDQA_G9_57_B,olfactory,muscat,1,NaN
sandySilty,57,2017_VDQA_G5_57_B,olfactory,chimic,3,1.00
sandySilty,57,2017_VDQA_G9_57_B,olfactory,chimic,3,NaN
sandySilty,57,2017_VDQA_G5_57_B,olfactory,sulphurousAnhydric,2,1.00
sandySilty,57,2017_VDQA_G9_57_B,olfactory,sulphurousAnhydric,2,NaN
