"varietyCode","varietyName","mainSynonym","typeCode","speciesCode","varUnit","qualifyingVariety","use","sex","skinColor","pulpColor","flavour","seeds","breeder","breederMother","crossbreedingOrder","fatherBreeder","refBreederParent","realMother","varCodeMother","realFather","varCodeFather","refRealParent","crossingCode","yearBreeding","varGeneticComposition","countryOrigin","regionOrigin","departmentOrigin","siregallOrigin","frenchRegistration","europeanRegistration","evdb_19-BREDCODE","evdb_20-SAMPSTAT","evdb_E-VARNUMB_vivc_KENN_NR"
"2629","Saint-Louis faux",NULL,"typ1","esp1","Plante","cv.","T","F","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,"Black Morocco","757","Frankenthal = Schiava grossa","766",NULL,NULL,NULL,NULL,"?",NULL,NULL,NULL,NULL,NULL,NULL,"300","41978"
"2668","Tsolikouri",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GEO",NULL,NULL,NULL,NULL,"oui",NULL,"300","12710"
"2674","Tchkhaveri",NULL,"typ1","esp1","Plante","cv.","C","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GEO",NULL,NULL,NULL,NULL,"oui",NULL,"300","2594"
"2868","Verjus",NULL,"typ1","esp1","Plante","cv.","T","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"FRA",NULL,NULL,NULL,NULL,NULL,NULL,"300","22916"
"2903","Hunisa",NULL,"typ1","esp1","Plante","cv.","T","F","NR","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"IRN","USCA",NULL,NULL,NULL,NULL,NULL,"300","3438"
"2949","Rosa del Peru",NULL,"typ1","esp1","Plante","cv.","CT","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,"Mission = Pais","1827","Muscat d'Alexandrie","308",NULL,NULL,NULL,NULL,"PER",NULL,NULL,NULL,NULL,NULL,NULL,"300","1405"
"3010","Battraube",NULL,"typ1","esp1","Plante","cv.","C","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AUT",NULL,NULL,NULL,NULL,NULL,NULL,"300","1041"
"3064","Italia Rubi",NULL,"typ1","esp1","Plante","cv.","T","H","Rg","inc","mus","pep",NULL,"Italia = Pirovano 65","(mutation)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ITA",NULL,NULL,NULL,"oui","oui",NULL,"420",NULL
"3065","Serna INTA","CG 102-354 ; XE 12","typ1","esp1","Plante","cv.","T","H","Rs","inc","mus","apyr","Gargiulo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ARG",NULL,NULL,NULL,"oui","oui",NULL,"300","23002"
"3092","Candolle",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"FRA","FR62","FR624",NULL,NULL,NULL,NULL,NULL,"2049"
"3120","Tarrant rot",NULL,"typ1","esp1","Plante","cv.","C","H","Rs","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,"Péridac","3528","Velteliner rouge","284",NULL,NULL,NULL,NULL,"DEU",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"24312"
"3131","Best's C",NULL,"typ1","esp1","Plante","cv.","C","H","NR","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AUS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"17405"
"3132","Best's M",NULL,"typ1","esp1","Plante","cv.","T","H","NR","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,"Bicane","696","Muscat de Hambourg","584",NULL,NULL,NULL,NULL,"AUS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"17407"
"3133","Best's N",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AUS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"17408"
"3134","Best's Q",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AUS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"17409"
"3135","Best's R2 V73",NULL,"typ1","esp1","Plante","cv.","C","H","NR","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AUS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"17413"
"3136","Best's S",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AUS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"17414"
"3137","Tandanya",NULL,"typ1","esp1","Plante","cv.","T","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,"Bicane","696","Heptakilo","743",NULL,NULL,NULL,NULL,"AUS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"12254"
